State,Abbreviation,Season Type,Zone,Split 1 Open,Split 1 Close,Split 2 Open,Split 2 Close,Split 3 Open,Split 3 Close,Bag Limit,Flyway,Weapon,Notes,Source URL,Verified,Season Year
Alabama,AL,archery,Statewide,2025-10-15,2026-02-10,,,,,1,,Bow,"Runs through entire deer season. Zone dates vary (A-E).",https://www.outdooralabama.com/seasons-and-bag-limits/deer-season,TRUE,2025-2026
Alabama,AL,muzzleloader,Statewide,2025-11-17,2025-11-21,,,,,1,,Muzzleloader,Special muzzleloader/air rifle season,https://www.outdooralabama.com/seasons-and-bag-limits/deer-season,TRUE,2025-2026
Alabama,AL,rifle,Statewide,2025-11-22,2026-02-10,,,,,1,,Rifle,"Gun season. Zone dates vary.",https://www.outdooralabama.com/seasons-and-bag-limits/deer-season,TRUE,2025-2026
Alaska,AK,rifle,Statewide,2025-08-01,2025-12-31,,,,,1,,Rifle,"Dates vary widely by GMU. Some units open Aug 1. Verify with ADF&G.",https://www.adfg.alaska.gov/index.cfm?adfg=deerhunting.main,FALSE,2025-2026
Alaska,AK,archery,Statewide,2025-08-01,2025-12-31,,,,,1,,Bow,"Concurrent with rifle in most units.",https://www.adfg.alaska.gov/index.cfm?adfg=deerhunting.main,FALSE,2025-2026
Arizona,AZ,archery,Statewide,2025-08-22,2025-09-18,,,,,1,,Bow,"Draw-only. Unit dates vary. Verify with AZGFD.",https://www.azgfd.com/hunting/regulations/,FALSE,2025-2026
Arizona,AZ,rifle,Statewide,2025-10-24,2025-11-09,,,,,1,,Rifle,"Draw-only. Multiple seasons. Unit dates vary significantly.",https://www.azgfd.com/hunting/regulations/,FALSE,2025-2026
Arizona,AZ,muzzleloader,Statewide,2025-12-12,2025-12-25,,,,,1,,Muzzleloader,"Draw-only. Dates approximate.",https://www.azgfd.com/hunting/regulations/,FALSE,2025-2026
Arkansas,AR,archery,Statewide,2025-09-27,2026-02-28,,,,,2,,Bow,,https://www.agfc.com/hunting/big-game/deer/,FALSE,2025-2026
Arkansas,AR,rifle,Statewide,2025-11-08,2025-12-07,,,,,2,,Rifle,"Modern gun. Zone dates vary.",https://www.agfc.com/hunting/big-game/deer/,FALSE,2025-2026
Arkansas,AR,muzzleloader,Statewide,2025-10-18,2025-10-26,,,,,2,,Muzzleloader,,https://www.agfc.com/hunting/big-game/deer/,FALSE,2025-2026
California,CA,archery,Statewide,2025-07-12,2025-09-14,,,,,1,,Bow,"Zone dates vary significantly. A/B/C/D zones.",https://wildlife.ca.gov/Hunting/Deer,FALSE,2025-2026
