TORNADO | 380 members | AL,AR,CO,GA,IA,IL,KS,KY,LA,MO,MS,NE,OK,TN,TX,WY | 1990-05-11..1990-05-21 | deaths 6 inj 155 dmg $81M | score 2986 ★NOTABLE: Error: spawnSync claude ETIMEDOUT
HAIL | 3007 members | AL,AR,CO,FL,GA,IA,IL,IN,KS,KY,LA,MN,MO,MS,MT,NC,ND,NE,NM,OH,OK,SC,SD,TN,TX,VA,WV,WY | 1990-05-11..1990-06-04 | deaths 0 inj 0 dmg $0M | score 3682 ★NOTABLE: Error: spawnSync claude ETIMEDOUT
WIND | 66 members | AZ,CA,CO,KS,NE,NM,NV,OR,TX,UT | 1990-07-09..1990-07-16 | deaths 0 inj 87 dmg $0M | score 1161 ★NOTABLE: Error: spawnSync claude ETIMEDOUT
TORNADO | 24 members | CO,NM,OK,TX | 1990-07-14..1990-07-15 | deaths 0 inj 18 dmg $0M | score 279 ★NOTABLE: Error: spawnSync claude ETIMEDOUT
WIND | 60 members | AL,FL,GA,LA,MS,NC | 1996-01-23..1996-01-24 | deaths 0 inj 0 dmg $6M | score 191 ★NOTABLE: Error: spawnSync claude ETIMEDOUT
WIND | 140 members | AL,GA,LA,MS,SC | 1996-01-26..1996-01-27 | deaths 0 inj 0 dmg $1M | score 241 ★NOTABLE: Error: spawnSync claude ETIMEDOUT
TORNADO | 12 members | FL,GA | 1996-02-02..1996-02-03 | deaths 2 inj 0 dmg $8M | score 245 ★NOTABLE: Error: spawnSync claude ETIMEDOUT
WINTER | 1925 members | AL,CT,DE,GA,IN,KY,MA,MD,ME,MI,MN,NC,ND,NH,NJ,NY,OH,PA,RI,SC,SD,VA,VT,WI,WV | 1996-02-26..1996-03-10 | deaths 16 inj 30 dmg $74M | score 4499 ★NOTABLE: Error: spawnSync claude ETIMEDOUT
HAIL | 278 members | AR,IA,IL,IN,KS,KY,MI,MO,MS,OH,OK,PA,TN,TX,WI,WV | 1996-02-26..1996-02-28 | deaths 0 inj 0 dmg $0M | score 653 ★NOTABLE: Error: spawnSync claude ETIMEDOUT
WINTER | 2780 members | AZ,CA,CO,CT,IA,ID,IL,KS,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NV,NY,OK,OR,PA,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY | 1998-01-01..1998-01-24 | deaths 34 inj 141 dmg $72M | score 8512 ★NOTABLE: Error: spawnSync claude ETIMEDOUT
FLOOD | 1402 members | AL,AR,CT,FL,GA,IL,IN,KY,LA,MA,MD,MO,MS,NC,NY,OH,OK,PA,SC,TN,TX,VA,VT,WV | 1998-01-04..1998-01-11 | deaths 28 inj 30 dmg $50M | score 5127 ★NOTABLE: Error: spawnSync claude ETIMEDOUT
WINTER | 58 members | ME | 1998-01-05..1998-01-05 | deaths 2 inj 0 dmg $311M | score 569 ★NOTABLE: Error: spawnSync claude ETIMEDOUT
