State,Abbreviation,Season Type,Zone,Split 1 Open,Split 1 Close,Split 2 Open,Split 2 Close,Split 3 Open,Split 3 Close,Bag Limit,Flyway,Weapon,Notes,Source URL,Verified,Season Year
Alabama,AL,regular,North Zone,2025-09-06,2025-10-05,2025-11-29,2026-01-10,,,15,,,Daily 15 possession 45; combined mourning and white-winged,https://www.outdooralabama.com/seasons-and-bag-limits/mourning-and-white-winged-dove-season,TRUE,2025-2026
Alabama,AL,regular,South Zone,2025-09-13,2025-10-12,2025-11-29,2026-01-10,,,15,,,Daily 15 possession 45,https://www.outdooralabama.com/seasons-and-bag-limits/mourning-and-white-winged-dove-season,FALSE,2025-2026
Arizona,AZ,regular,Statewide,2025-09-01,2025-09-15,2025-11-21,2026-01-04,,,15,,,Daily 15 combined max 10 white-winged; possession 45,https://www.azgfd.com/hunting/regulations/,TRUE,2025-2026
Arkansas,AR,regular,Statewide,2025-09-06,2025-10-26,2025-12-08,2026-01-15,,,15,,,Daily 15 possession 45; no limit on Eurasian collared-doves,https://www.agfc.com/hunting/more-game/dove/season-dates-and-bag-limits/,TRUE,2025-2026
California,CA,regular,Statewide,2025-09-01,2025-09-15,2025-11-08,2025-12-22,,,15,,,Daily 15 max 10 white-winged; possession 45,https://www.eregulations.com/california/hunting/hunting-seasons-and-dates,FALSE,2025-2026
Colorado,CO,regular,Statewide,2025-09-01,2025-11-29,,,,,,,,Daily 15 possession 45,https://cpw.state.co.us/activities/hunting/small-game,FALSE,2025-2026
Connecticut,CT,regular,Statewide,2025-09-01,2025-11-09,,,,,,,,Daily 15 possession 45,https://portal.ct.gov/deep/hunting/connecticut-migratory-bird-hunting-guide/season-dates-and-bag-limits,FALSE,2025-2026
Delaware,DE,regular,Statewide,2025-09-01,2025-11-29,2025-12-13,2026-01-10,,,15,,,Daily 15 possession 45,https://www.eregulations.com/delaware/hunting/migratory-bird-seasons-bag-limits,FALSE,2025-2026
Florida,FL,regular,Statewide,2025-10-04,2025-10-27,2025-11-15,2025-12-07,2025-12-20,2026-01-11,15,,,Daily 15 aggregate mourning white-winged white-tipped; possession 45,https://myfwc.com/hunting/dove/,FALSE,2025-2026
Georgia,GA,regular,Statewide,2025-09-06,2025-10-12,2025-11-22,2025-11-30,2025-12-18,2026-01-31,15,,,Daily 15 aggregate mourning and white-winged; possession 45,https://georgiawildlife.com/2025-26-georgia-dove-hunting-season-opens-sat-sept-6,TRUE,2025-2026
Idaho,ID,regular,Statewide,2025-09-01,2025-10-30,,,,,,,,Daily 15 possession 45,https://idfg.idaho.gov/article/fg-commission-sets-migratory-game-bird-seasons-2025-26,TRUE,2025-2026
Illinois,IL,regular,Statewide,2025-09-01,2025-11-15,2025-12-26,2026-01-02,,,15,,,Daily 15 possession 45; sunrise to sunset; free dove permit required,https://huntillinois.org/upland-and-small-game,FALSE,2025-2026
Indiana,IN,regular,Statewide,2025-09-01,2025-10-19,2025-11-01,2025-11-30,2025-12-20,2025-12-30,15,,,Daily 15 possession 45,https://www.in.gov/dnr/fish-and-wildlife/hunting-and-trapping/waterfowl-and-migratory-game-birds/migratory-gamebird-seasons-and-regulations/,FALSE,2025-2026
Iowa,IA,regular,Statewide,2025-09-01,2025-11-09,,,,,,,,Daily 15 possession 45,https://www.iowadnr.gov/things-do/hunting-trapping/iowa-hunting-seasons,FALSE,2025-2026
Kansas,KS,regular,Statewide,2025-09-01,2025-11-29,,,,,,,,Daily 15 aggregate mourning and white-winged; possession 45,https://ksoutdoors.gov/Hunting/Migratory-Birds/Dove2,TRUE,2025-2026
Kentucky,KY,regular,Statewide,2025-09-01,2025-10-26,2025-11-27,2025-12-07,2025-12-20,2026-01-11,15,,,Daily 15 including white-winged; possession 45,https://fw.ky.gov/Hunt/Pages/ky-hunting-fishing-seasons-planner.aspx,FALSE,2025-2026
Louisiana,LA,regular,North Zone,2025-09-06,2025-09-28,2025-10-11,2025-11-16,2025-12-20,2026-01-18,15,,,Daily 15 possession 45; non-toxic shot required,https://www.wlf.louisiana.gov/page/seasons-and-regulations,FALSE,2025-2026
Louisiana,LA,regular,South Zone,2025-09-06,2025-09-21,2025-10-18,2025-11-30,2025-12-13,2026-01-11,15,,,Daily 15 possession 45; non-toxic shot required,https://www.wlf.louisiana.gov/page/seasons-and-regulations,FALSE,2025-2026
Maryland,MD,regular,Statewide,2025-09-01,2025-10-18,2025-10-25,2025-11-28,2025-12-20,2026-01-09,15,,,Daily 15 possession 45; segment 1 noon-sunset only,https://dnr.maryland.gov/wildlife/Pages/index.html,FALSE,2025-2026
Michigan,MI,regular,Statewide,2025-09-01,2025-11-09,2025-12-01,2026-01-15,,,15,,,Daily 15 possession 45,https://www.michigan.gov/dnr/things-to-do/hunting/hunting-season-calendar,FALSE,2025-2026
Minnesota,MN,regular,Statewide,2025-09-01,2025-11-29,,,,,,,,Daily 15 possession 45,https://www.dnr.state.mn.us/hunting/seasons.html,FALSE,2025-2026
Mississippi,MS,regular,North Zone,2025-09-01,2025-09-30,2025-10-18,2025-11-16,2025-12-27,2026-01-25,15,,,Daily 15 possession 45,https://www.mdwfp.com/wildlife-hunting/hunting-seasons-and-bag-limits,FALSE,2025-2026
Mississippi,MS,regular,South Zone,2025-09-01,2025-09-30,2025-10-18,2025-11-16,2025-12-27,2026-01-25,15,,,Daily 15 possession 45,https://www.mdwfp.com/wildlife-hunting/hunting-seasons-and-bag-limits,FALSE,2025-2026
Missouri,MO,regular,Statewide,2025-09-01,2025-11-29,,,,,,,,Daily 15 combined all dove species; possession 45,https://mdc.mo.gov/hunting-trapping/species/dove/dove-permits,TRUE,2025-2026
Montana,MT,regular,Statewide,2025-09-01,2025-10-30,,,,,,,,Daily 15 possession 45,https://fwp.mt.gov/hunt/seasons,FALSE,2025-2026
Nebraska,NE,regular,Statewide,2025-09-01,2025-10-30,,,,,,,,Daily 15 possession 45; Eurasian collared-dove also open,https://outdoornebraska.gov/hunt/hunting-seasons/,TRUE,2025-2026
Nevada,NV,regular,North Zone,2025-09-01,2025-11-09,,,,,,,,Daily 15 combined mourning and white-winged; possession 45,https://www.ndow.org,FALSE,2025-2026
Nevada,NV,regular,South Zone,2025-09-15,2025-11-08,,,,,,,,Daily 15 combined mourning and white-winged; possession 45,https://www.ndow.org,FALSE,2025-2026
