State,Abbreviation,Season Type,Zone,Split 1 Open,Split 1 Close,Split 2 Open,Split 2 Close,Split 3 Open,Split 3 Close,Bag Limit,Flyway,Weapon,Notes,Source URL,Verified,Season Year
Alabama,AL,early-teal,Statewide,2025-09-13,2025-09-21,,,,,,Mississippi,,Teal only season,https://www.outdooralabama.com/seasons-and-bag-limits/waterfowl-season,TRUE,2025-2026
Alabama,AL,regular,Statewide,2025-11-28,2026-01-27,,,,,,Mississippi,,60-day season,https://www.outdooralabama.com/seasons-and-bag-limits/waterfowl-season,TRUE,2025-2026
Alaska,AK,regular,Gulf Coast,2025-09-01,2025-12-16,,,,,8,Pacific,,"Units 5-7 9 10 (Unimak Is.) 14-16. Youth-only Sept 1-2.",https://www.adfg.alaska.gov/index.cfm?adfg=waterfowlhunting.main,TRUE,2025-2026
Arizona,AZ,regular,Statewide,2025-10-23,2026-01-31,,,,,7,Pacific,,,https://www.azgfd.com/hunting/regulations/,TRUE,2025-2026
Arkansas,AR,early-teal,Statewide,2025-09-20,2025-09-28,,,,,6,Mississippi,,9-day season shortened due to population estimates,https://www.agfc.com/hunting/waterfowl/waterfowl-dates-rules-regulations/,TRUE,2025-2026
Arkansas,AR,regular,Statewide,2025-11-22,2025-12-01,2025-12-10,2025-12-23,2025-12-27,2026-01-31,6,Mississippi,,"3-split season. Pintail limit increased to 3.",https://www.agfc.com/hunting/waterfowl/waterfowl-dates-rules-regulations/,TRUE,2025-2026
California,CA,regular,Northeastern Zone,2025-10-04,2026-01-15,,,,,7,Pacific,,,https://calwaterfowl.org/regulations,TRUE,2025-2026
California,CA,regular,Balance of State,2025-10-18,2026-01-28,,,,,7,Pacific,,Includes Sacramento Valley and most of state,https://calwaterfowl.org/regulations,TRUE,2025-2026
California,CA,regular,Southern San Joaquin Valley,2025-10-18,2026-01-28,,,,,7,Pacific,,,https://calwaterfowl.org/regulations,TRUE,2025-2026
California,CA,regular,Southern California,2025-11-01,2026-01-31,,,,,7,Pacific,,,https://calwaterfowl.org/regulations,FALSE,2025-2026
California,CA,regular,Colorado River Zone,2025-10-18,2026-01-28,,,,,7,Pacific,,,https://calwaterfowl.org/regulations,TRUE,2025-2026
Colorado,CO,regular,Northeast Zone,2025-10-18,2025-11-30,2025-12-11,2026-01-31,,,6,Central,,,https://cpw.state.co.us/hunting/waterfowl,TRUE,2025-2026
Colorado,CO,regular,Southeast Zone,2025-10-28,2026-01-31,,,,,6,Central,,,https://cpw.state.co.us/hunting/waterfowl,TRUE,2025-2026
Colorado,CO,regular,Mountain/Foothills Zone,2025-10-04,2025-11-30,2025-12-25,2026-01-31,,,6,Central,,,https://cpw.state.co.us/hunting/waterfowl,TRUE,2025-2026
Colorado,CO,regular,Pacific Flyway Eastern Zone,2025-10-04,2026-01-07,,,,,7,Pacific,,Pacific Flyway portion of Colorado,https://cpw.state.co.us/hunting/waterfowl,TRUE,2025-2026
Connecticut,CT,regular,North Zone,2025-10-11,2025-10-18,2025-11-10,2025-12-17,2025-12-18,2026-01-10,6,Atlantic,,,https://portal.ct.gov/deep/hunting/connecticut-migratory-bird-hunting-guide/season-dates-and-bag-limits,TRUE,2025-2026
Connecticut,CT,regular,South Zone,2025-11-11,2025-11-11,2025-11-15,2025-12-26,2025-12-27,2026-01-20,6,Atlantic,,South Zone split into multiple segments,https://portal.ct.gov/deep/hunting/connecticut-migratory-bird-hunting-guide/season-dates-and-bag-limits,TRUE,2025-2026
Delaware,DE,regular,Statewide,2025-11-01,2026-01-31,,,,,6,Atlantic,,,https://dnrec.delaware.gov/fish-wildlife/hunting/migratory-birds/,TRUE,2025-2026
Florida,FL,early-teal,Statewide,2025-09-20,2025-09-24,,,,,6,Atlantic,,Teal and wood duck early season. Max 2 wood ducks.,https://myfwc.com/hunting/regulations/birds/,TRUE,2025-2026
Florida,FL,regular,Statewide,2025-11-22,2025-11-30,2025-12-06,2026-01-25,,,6,Atlantic,,,https://myfwc.com/hunting/regulations/birds/,TRUE,2025-2026
Georgia,GA,early-teal,Statewide,2025-09-13,2025-09-21,,,,,6,Atlantic,,September teal season,https://georgiawildlife.com/migratory-bird-hunting-2025-26-season-dates-approved,TRUE,2025-2026
Georgia,GA,regular,Statewide,2025-11-22,2025-11-30,2025-12-06,2026-01-25,,,6,Atlantic,,,https://georgiawildlife.com/migratory-bird-hunting-2025-26-season-dates-approved,TRUE,2025-2026
Hawaii,HI,regular,Statewide,2025-11-01,2026-01-31,,,,,6,Pacific,,"Limited waterfowl hunting. Verify with DLNR. Dates estimated from federal framework.",https://www.eregulations.com/hawaii/hunting/hunting-seasons-and-dates,FALSE,2025-2026
Idaho,ID,regular,Zone 1,2025-10-04,2026-01-16,,,,,7,Pacific,,,https://idfg.idaho.gov/rules/migratory/2025-ducks,TRUE,2025-2026
Idaho,ID,regular,Zone 2,2025-10-04,2026-01-16,,,,,7,Pacific,,,https://idfg.idaho.gov/rules/migratory/2025-ducks,TRUE,2025-2026
Idaho,ID,regular,Zone 3,2025-10-19,2026-01-31,,,,,7,Pacific,,,https://idfg.idaho.gov/rules/migratory/2025-ducks,TRUE,2025-2026
Illinois,IL,regular,North Zone,2025-10-18,2025-12-16,,,,,6,Mississippi,,"Dates approximate. Verify with IDNR digest.",https://huntillinois.org/waterfowl,FALSE,2025-2026
Illinois,IL,regular,Central Zone,2025-10-25,2025-12-23,,,,,6,Mississippi,,"Dates approximate. Verify with IDNR digest.",https://huntillinois.org/waterfowl,FALSE,2025-2026
Illinois,IL,regular,South Central Zone,2025-11-15,2026-01-13,,,,,6,Mississippi,,,https://huntillinois.org/waterfowl,TRUE,2025-2026
Illinois,IL,regular,South Zone,2025-11-30,2026-01-27,,,,,6,Mississippi,,,https://huntillinois.org/waterfowl,TRUE,2025-2026
Indiana,IN,regular,North Zone,2025-10-18,2025-12-07,2025-12-20,2025-12-28,,,6,Mississippi,,,https://www.in.gov/dnr/fish-and-wildlife/hunting-and-trapping/waterfowl-and-migratory-game-birds/migratory-gamebird-seasons-and-regulations/,TRUE,2025-2026
Indiana,IN,regular,Central Zone,2025-11-01,2025-11-09,2025-11-22,2026-01-11,,,6,Mississippi,,,https://www.in.gov/dnr/fish-and-wildlife/hunting-and-trapping/waterfowl-and-migratory-game-birds/migratory-gamebird-seasons-and-regulations/,TRUE,2025-2026
Indiana,IN,regular,South Zone,2025-11-08,2025-11-09,2025-11-29,2026-01-25,,,6,Mississippi,,,https://www.in.gov/dnr/fish-and-wildlife/hunting-and-trapping/waterfowl-and-migratory-game-birds/migratory-gamebird-seasons-and-regulations/,TRUE,2025-2026
Iowa,IA,regular,North Zone,2025-09-27,2025-10-03,2025-10-11,2025-12-02,,,6,Mississippi,,,https://www.iowadnr.gov/things-do/hunting-trapping/types-hunting-trapping/migratory-game-bird-hunting,TRUE,2025-2026
Iowa,IA,regular,Central Zone,2025-10-04,2025-10-10,2025-10-18,2025-12-09,,,6,Mississippi,,,https://www.iowadnr.gov/things-do/hunting-trapping/types-hunting-trapping/migratory-game-bird-hunting,TRUE,2025-2026
Iowa,IA,regular,South Zone,2025-10-11,2025-10-17,2025-10-25,2025-12-16,,,6,Mississippi,,,https://www.iowadnr.gov/things-do/hunting-trapping/types-hunting-trapping/migratory-game-bird-hunting,TRUE,2025-2026
Kansas,KS,early-teal,Low Plains,2025-09-13,2025-09-21,,,,,6,Central,,East of Highway 283,https://ksoutdoors.gov/Hunting/When-to-Hunt/Migratory-Bird,TRUE,2025-2026
Kansas,KS,early-teal,High Plains,2025-09-20,2025-09-28,,,,,6,Central,,West of Highway 283,https://ksoutdoors.gov/Hunting/When-to-Hunt/Migratory-Bird,TRUE,2025-2026
Kansas,KS,regular,High Plains Zone,2025-10-11,2026-01-04,2026-01-16,2026-01-25,,,6,Central,,,https://ksoutdoors.gov/Hunting/When-to-Hunt/Migratory-Bird,TRUE,2025-2026
Kansas,KS,regular,Low Plains Early Zone,2025-10-11,2025-12-07,2025-12-20,2026-01-04,,,6,Central,,,https://ksoutdoors.gov/Hunting/When-to-Hunt/Migratory-Bird,TRUE,2025-2026
Kansas,KS,regular,Low Plains Southeast Zone,2025-11-08,2026-01-04,2026-01-10,2026-01-25,,,6,Central,,,https://ksoutdoors.gov/Hunting/When-to-Hunt/Migratory-Bird,TRUE,2025-2026
Kentucky,KY,early-teal,Statewide,2025-09-20,2025-09-24,,,,,6,Mississippi,,5-day teal season shortened for 2025-26,https://fw.ky.gov/Hunt/Pages/Waterfowl-Hunting.aspx,TRUE,2025-2026
Kentucky,KY,regular,Statewide,2025-11-27,2025-11-30,2025-12-07,2026-01-31,,,6,Mississippi,,,https://fw.ky.gov/Hunt/Pages/Waterfowl-Hunting.aspx,TRUE,2025-2026
Louisiana,LA,regular,West Zone,2025-11-08,2025-11-30,2025-12-13,2026-01-18,,,6,Mississippi,,,https://www.wlf.louisiana.gov/news/202526-louisiana-duck-season-opens-in-november-ldwf-announces,TRUE,2025-2026
Louisiana,LA,regular,East Zone,2025-11-15,2025-11-30,2025-12-13,2026-01-25,,,6,Mississippi,,,https://www.wlf.louisiana.gov/news/202526-louisiana-duck-season-opens-in-november-ldwf-announces,TRUE,2025-2026
Maine,ME,regular,Statewide,2025-10-04,2025-12-10,,,,,6,Atlantic,,"Zone-specific dates vary (North/South/Coastal). Verify with MDIFW.",https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/migratory-gamebirds.html,FALSE,2025-2026
Maryland,MD,regular,Eastern Zone,2025-10-11,2025-10-18,2025-11-15,2025-11-28,2025-12-16,2026-01-31,6,Atlantic,,3-split season. No Sunday hunting for migratory birds.,https://www.eregulations.com/maryland/hunting/migratory-game-bird-seasons-limits,TRUE,2025-2026
Maryland,MD,regular,Western Zone,2025-10-04,2025-10-18,2025-11-22,2025-11-28,2025-12-16,2026-01-31,6,Atlantic,,3-split season,https://www.eregulations.com/maryland/hunting/migratory-game-bird-seasons-limits,TRUE,2025-2026
Massachusetts,MA,regular,Statewide,2025-10-25,2026-01-10,,,,,6,Atlantic,,"Coastal Zone extended scaup season Jan 8-28, 2026",https://www.mass.gov/info-details/migratory-game-bird-hunting-regulations,TRUE,2025-2026
Michigan,MI,early-teal,Statewide,2025-09-01,2025-09-09,,,,,6,Mississippi,,Early teal season,https://www.michigan.gov/dnr/managing-resources/laws/regulations/waterfowl,TRUE,2025-2026
Michigan,MI,regular,North Zone,2025-09-27,2025-11-23,2025-11-29,2025-11-30,,,6,Mississippi,,,https://www.michigan.gov/dnr/managing-resources/laws/regulations/waterfowl,TRUE,2025-2026
Michigan,MI,regular,Middle Zone,2025-10-04,2025-11-30,2025-12-13,2025-12-14,,,6,Mississippi,,,https://www.michigan.gov/dnr/managing-resources/laws/regulations/waterfowl,TRUE,2025-2026
Michigan,MI,regular,South Zone,2025-10-18,2025-12-14,2025-12-27,2025-12-28,,,6,Mississippi,,,https://www.michigan.gov/dnr/managing-resources/laws/regulations/waterfowl,TRUE,2025-2026
Minnesota,MN,regular,North Zone,2025-09-27,2025-11-25,,,,,6,Mississippi,,,https://www.dnr.state.mn.us/hunting/waterfowl/seasons.html,TRUE,2025-2026
Minnesota,MN,regular,Central Zone,2025-09-27,2025-10-05,2025-10-11,2025-11-30,,,6,Mississippi,,,https://www.dnr.state.mn.us/hunting/waterfowl/seasons.html,TRUE,2025-2026
Minnesota,MN,regular,South Zone,2025-09-27,2025-10-05,2025-10-18,2025-12-07,,,6,Mississippi,,,https://www.dnr.state.mn.us/hunting/waterfowl/seasons.html,TRUE,2025-2026
Mississippi,MS,regular,Statewide,2025-11-28,2025-11-30,2025-12-06,2026-01-31,,,6,Mississippi,,Single statewide zone,https://www.mdwfp.com/wildlife-hunting/hunting-seasons-and-bag-limits,TRUE,2025-2026
Missouri,MO,regular,North Zone,2025-11-01,2025-12-30,,,,,6,Mississippi,,,https://mdc.mo.gov/newsroom/mdc-sets-upcoming-migratory-game-bird-waterfowl-seasons-3,TRUE,2025-2026
Missouri,MO,regular,Middle Zone,2025-11-01,2025-11-09,2025-11-15,2026-01-04,,,6,Mississippi,,,https://mdc.mo.gov/newsroom/mdc-sets-upcoming-migratory-game-bird-waterfowl-seasons-3,TRUE,2025-2026
Missouri,MO,regular,South Zone,2025-11-27,2025-11-30,2025-12-06,2026-01-25,,,6,Mississippi,,"South Zone dates approximate. Verify with MDC.",https://mdc.mo.gov/newsroom/mdc-sets-upcoming-migratory-game-bird-waterfowl-seasons-3,FALSE,2025-2026
Montana,MT,regular,Statewide,2025-10-04,2026-01-16,,,,,6,Central,,"Dates vary slightly by zone. Central Flyway portion.",https://fwp.mt.gov/hunt/regulations/migratory-bird,TRUE,2025-2026
Nebraska,NE,early-teal,Low Plains,2025-09-06,2025-09-14,,,,,6,Central,,,https://outdoornebraska.gov/about/press-events/news/commissioners-approve-2025-2026-waterfowl-recommendations/,TRUE,2025-2026
Nebraska,NE,regular,Low Plains Zone,2025-10-04,2025-12-09,,,,,6,Central,,"Multiple zones within Low Plains. Verify zone-specific dates.",https://outdoornebraska.gov/about/press-events/news/commissioners-approve-2025-2026-waterfowl-recommendations/,FALSE,2025-2026
Nebraska,NE,regular,High Plains Zone,2025-10-04,2026-01-15,,,,,6,Central,,,https://outdoornebraska.gov/about/press-events/news/commissioners-approve-2025-2026-waterfowl-recommendations/,FALSE,2025-2026
Nevada,NV,regular,Northeast Zone,2025-09-27,2025-12-02,2025-12-13,2026-01-19,,,7,Pacific,,,https://www.eregulations.com/nevada/hunting/small-game/migratory-game-bird-seasons,TRUE,2025-2026
Nevada,NV,regular,Northwest Zone,2025-10-11,2026-01-04,2026-01-07,2026-01-25,,,7,Pacific,,,https://www.eregulations.com/nevada/hunting/small-game/migratory-game-bird-seasons,TRUE,2025-2026
Nevada,NV,regular,South Zone,2025-11-01,2026-01-25,,,,,7,Pacific,,,https://www.eregulations.com/nevada/hunting/small-game/migratory-game-bird-seasons,TRUE,2025-2026
New Hampshire,NH,regular,Northern Zone,2025-10-02,2025-11-30,,,,,6,Atlantic,,,https://nhfishgame.com/2025/05/02/new-hampshires-2025-2026-migratory-waterfowl-hunting-seasons-are-now-set/,TRUE,2025-2026
New Hampshire,NH,regular,Coastal Zone,2025-10-02,2025-10-08,2025-11-27,2026-01-18,,,6,Atlantic,,,https://nhfishgame.com/2025/05/02/new-hampshires-2025-2026-migratory-waterfowl-hunting-seasons-are-now-set/,TRUE,2025-2026
New Jersey,NJ,regular,Statewide,2025-10-18,2025-10-25,2025-11-22,2026-01-22,,,6,Atlantic,,"Coastal areas may run to Jan 30. Verify zone-specific dates.",https://dep.nj.gov/wp-content/uploads/njfw/migratory-bird-seasons-2025-2026.pdf,TRUE,2025-2026
New Mexico,NM,regular,Statewide,2025-11-15,2026-01-31,,,,,6,Central,,,https://www.eregulations.com/newmexico/hunting/hunting-seasons-and-dates,TRUE,2025-2026
New York,NY,regular,Statewide,2025-10-11,2026-01-20,,,,,6,Atlantic,,"5 waterfowl zones with varying dates. Dates shown are approximate range. Verify zone-specific dates with DEC.",https://dec.ny.gov/things-to-do/hunting/migratory-game-bird/seasons,FALSE,2025-2026
North Carolina,NC,regular,Inland Zone,2025-10-16,2025-10-18,2025-11-08,2025-11-29,2025-12-19,2026-01-31,6,Atlantic,,3-split season. No Sunday hunting for waterfowl.,https://www.ncwildlife.gov/news/press-releases/2025/04/24/state-wildlife-agency-announces-2025-2026-north-carolina-migratory-game-bird-seasons,TRUE,2025-2026
North Carolina,NC,regular,Coastal Zone,2025-10-24,2025-10-25,2025-11-08,2025-11-29,2025-12-18,2026-01-31,6,Atlantic,,3-split season,https://www.ncwildlife.gov/news/press-releases/2025/04/24/state-wildlife-agency-announces-2025-2026-north-carolina-migratory-game-bird-seasons,TRUE,2025-2026
North Dakota,ND,regular,Statewide,2025-09-27,2025-12-07,,,,,6,Central,,"Residents open Sep 27; nonresidents Oct 4. Nonresidents must choose specific zones.",https://gf.nd.gov/hunting/season-dates,TRUE,2025-2026
Ohio,OH,regular,Lake Erie Marsh Zone,2025-10-18,2025-11-02,2025-11-15,2025-12-28,,,6,Mississippi,,,https://www.eregulations.com/ohio/hunting/hunting-seasons-and-dates,TRUE,2025-2026
Ohio,OH,regular,North Zone,2025-10-18,2025-10-26,2025-11-15,2026-01-04,,,6,Mississippi,,,https://www.eregulations.com/ohio/hunting/hunting-seasons-and-dates,TRUE,2025-2026
Ohio,OH,regular,South Zone,2025-10-18,2025-10-27,2025-12-13,2026-01-31,,,6,Mississippi,,,https://www.eregulations.com/ohio/hunting/hunting-seasons-and-dates,TRUE,2025-2026
Oklahoma,OK,regular,Zones 1 and 2,2025-11-08,2025-11-30,2025-12-06,2026-01-25,,,6,Central,,,https://www.wildlifedepartment.com/hunting/regs/ducks-mergansers-coots,TRUE,2025-2026
Oklahoma,OK,regular,Panhandle,2025-10-04,2026-01-07,,,,,6,Central,,"Approximate dates. Verify with ODWC.",https://www.wildlifedepartment.com/hunting/regs/ducks-mergansers-coots,FALSE,2025-2026
Oregon,OR,regular,Statewide,2025-10-11,2026-01-25,,,,,7,Pacific,,"Multiple zones with varying dates and splits. Dates shown are approximate range.",https://www.eregulations.com/oregon/hunting/game-bird/migratory-game-bird-seasons,FALSE,2025-2026
Pennsylvania,PA,regular,North Zone,2025-10-11,2025-10-25,2025-11-18,2026-01-10,,,6,Atlantic,,,https://www.pa.gov/agencies/pgc/huntingandtrapping/regulations/seasons-and-bag-limits,TRUE,2025-2026
Pennsylvania,PA,regular,South Zone,2025-10-11,2025-10-18,2025-11-19,2026-01-19,,,6,Atlantic,,,https://www.pa.gov/agencies/pgc/huntingandtrapping/regulations/seasons-and-bag-limits,TRUE,2025-2026
Pennsylvania,PA,regular,Northwest Zone,2025-10-11,2025-11-28,2025-12-22,2026-01-10,,,6,Atlantic,,,https://www.pa.gov/agencies/pgc/huntingandtrapping/regulations/seasons-and-bag-limits,TRUE,2025-2026
Pennsylvania,PA,regular,Lake Erie Zone,2025-11-03,2026-01-10,,,,,6,Atlantic,,,https://www.pa.gov/agencies/pgc/huntingandtrapping/regulations/seasons-and-bag-limits,TRUE,2025-2026
Rhode Island,RI,regular,Statewide,2025-10-25,2026-01-31,,,,,6,Atlantic,,"Multiple zones exist. Dates shown cover approximate statewide range.",https://www.eregulations.com/rhodeisland/hunting/waterfowl-seasons-bind-in,FALSE,2025-2026
South Carolina,SC,regular,Statewide,2025-11-22,2025-11-29,2025-12-12,2026-01-31,,,6,Atlantic,,,https://www.dnr.sc.gov/hunting/SCMigratoryBirdSeasons.pdf,TRUE,2025-2026
South Dakota,SD,regular,High Plains Zone,2025-10-11,2026-01-15,,,,,6,Central,,,https://gfp.sd.gov/ducks/,TRUE,2025-2026
South Dakota,SD,regular,Low Plains North/Middle Zone,2025-09-27,2025-12-09,,,,,6,Central,,,https://gfp.sd.gov/ducks/,TRUE,2025-2026
Tennessee,TN,regular,Statewide,2025-11-29,2025-11-30,2025-12-05,2026-01-31,,,6,Mississippi,,"First segment Nov 29-30, second Dec 5-Jan 31",https://www.tn.gov/twra/hunting/migratory-birds.html,TRUE,2025-2026
Texas,TX,regular,High Plains Mallard Management Unit,2025-10-18,2025-10-19,2025-10-24,2026-01-25,,,6,Central,,,https://tpwd.texas.gov/regulations/outdoor-annual/regs/animals/duck,TRUE,2025-2026
Texas,TX,regular,North Zone,2025-11-08,2025-11-30,2025-12-06,2026-01-25,,,6,Central,,,https://tpwd.texas.gov/regulations/outdoor-annual/regs/animals/duck,TRUE,2025-2026
Texas,TX,regular,South Zone,2025-11-01,2025-11-30,2025-12-13,2026-01-25,,,6,Central,,,https://tpwd.texas.gov/regulations/outdoor-annual/regs/animals/duck,TRUE,2025-2026
