State,Abbreviation,Season Type,Zone,Split 1 Open,Split 1 Close,Split 2 Open,Split 2 Close,Split 3 Open,Split 3 Close,Bag Limit,Flyway,Weapon,Notes,Source URL,Verified,Season Year
Alabama,AL,spring,Statewide,2025-04-01,2025-05-08,,,,,,,,General spring season; 1 gobbler per day 4 per season combined,https://www.outdooralabama.com/seasons-and-bag-limits/turkey-season,TRUE,2025-2026
Alabama,AL,fall,Clarke-Monroe Counties,2025-11-15,2025-11-23,2025-12-13,2025-12-28,,,2,,,Fall turkey limited to Clarke and Monroe counties only,https://www.eregulations.com/alabama/hunting/turkey-seasons-limits,FALSE,2025-2026
Arizona,AZ,spring,Statewide,2025-04-01,2025-05-31,,,,,,,,Permit required; dates vary by unit and weapon type; 1 turkey per year,https://www.azgfd.com/hunting/regulations/,FALSE,2025-2026
Arizona,AZ,fall,Statewide,2025-08-01,2025-12-23,,,,,,,,Varies by unit; archery and limited weapon shotgun,https://www.eregulations.com/arizona/hunting/hunting-seasons-and-dates,FALSE,2025-2026
Arkansas,AR,spring,Statewide,2025-04-21,2025-05-11,,,,,,,,Youth hunt April 12-13,https://www.agfc.com/hunting/turkey/turkey-dates-rules-regulations/,TRUE,2025-2026
California,CA,spring,Statewide,2025-03-29,2025-05-04,,,,,,,,1 bearded turkey per day; 3 per season; shotgun or archery only,https://www.eregulations.com/california/hunting/hunting-seasons-and-dates,FALSE,2025-2026
Colorado,CO,spring,Statewide,2025-04-12,2025-05-31,,,,,,,,Limited licenses via draw,https://cpw.state.co.us/activities/hunting/turkey-hunting,TRUE,2025-2026
Colorado,CO,fall,Statewide,2025-09-01,2025-10-31,,,,,,,,Draw-based licenses; late fall Dec 15 - Jan 15 also available,https://cpw.state.co.us/activities/hunting/turkey-hunting,FALSE,2025-2026
Connecticut,CT,spring,Statewide,2025-04-30,2025-05-31,,,,,,,,Junior training days April 19-26,https://portal.ct.gov/deep/hunting/2025-connecticut-hunting-and-trapping-guide/wild-turkey-hunting,TRUE,2025-2026
Connecticut,CT,fall,Statewide,2025-09-15,2025-12-31,,,,,,,,Archery Sept 15-Dec 31; firearms Oct 4-31,https://portal.ct.gov/deep/news-releases/news-releases---2025/fall-archery-deer-and-turkey-seasons-open-in-september,FALSE,2025-2026
Delaware,DE,spring,Statewide,2025-04-12,2025-05-10,,,,,,,,1 bearded turkey per year; public land split into segments A-D,https://dnrec.delaware.gov/fish-wildlife/hunting/wild-turkeys/hunting/,TRUE,2025-2026
Florida,FL,spring,Statewide,2026-03-07,2026-04-12,,,,,,,,Youth hunt weekend Feb 27-Mar 2; spring season runs Mar-Apr,https://myfwc.com/hunting/season-dates/,FALSE,2025-2026
Florida,FL,fall,Zone A,2025-10-06,2025-10-19,2025-11-22,2026-01-04,,,2,,,Fall turkey Zone A dates,https://myfwc.com/hunting/season-dates/,FALSE,2025-2026
Florida,FL,fall,Zone B,2025-12-06,2026-02-01,,,,,,,,Fall turkey Zone B dates,https://myfwc.com/hunting/season-dates/,FALSE,2025-2026
Florida,FL,fall,Zone C,2025-11-01,2025-12-28,,,,,,,,Fall turkey Zone C dates,https://myfwc.com/hunting/season-dates/,FALSE,2025-2026
Georgia,GA,spring,Private Land,2025-03-29,2025-05-15,,,,,,,,1 gobbler per day; 2 per season,https://georgiawildlife.com/turkey-info,TRUE,2025-2026
Georgia,GA,spring,Public Land,2025-04-05,2025-05-15,,,,,,,,WMAs and National Forest open April 5,https://georgiawildlife.com/turkey-info,TRUE,2025-2026
Hawaii,HI,spring,Hawaii Island,2025-03-01,2025-04-15,,,,,3,,,Bearded turkeys only; Hawaii Island only,https://dlnr.hawaii.gov/blog/2025/02/21/nr25-28/,TRUE,2025-2026
Idaho,ID,spring,Statewide,2025-04-15,2025-05-25,,,,,,,,Youth April 8-14; varies by unit; controlled hunts available,https://idfg.idaho.gov/hunt/turkey,TRUE,2025-2026
Idaho,ID,fall,Statewide,2025-08-20,2026-01-31,,,,,,,,Varies by unit; 1 turkey either sex per day,https://idfg.idaho.gov/rules/upland,FALSE,2025-2026
Illinois,IL,spring,South Zone,2025-04-07,2025-05-08,,,,,,,,5 periods; 1 bearded turkey per season,https://dnr.illinois.gov/hunting/turkeyhunting.html,TRUE,2025-2026
Illinois,IL,spring,North Zone,2025-04-14,2025-05-15,,,,,,,,5 periods; 1 bearded turkey per season,https://dnr.illinois.gov/hunting/turkeyhunting.html,TRUE,2025-2026
Illinois,IL,fall,Statewide,2025-10-01,2025-11-20,2025-11-24,2025-12-03,2025-12-08,2026-01-18,,,,Archery; closed during deer seasons Nov 21-23 and Dec 4-7,https://dnr.illinois.gov/hunting/turkeyhunting.html,FALSE,2025-2026
Indiana,IN,spring,Statewide,2025-04-23,2025-05-11,,,,,1,,,1 bearded or male turkey; youth April 19-20,https://www.in.gov/dnr/fish-and-wildlife/hunting-and-trapping/wild-turkey-hunting-biology-and-management/,TRUE,2025-2026
Indiana,IN,fall,Statewide,2025-10-01,2025-10-26,2025-12-06,2026-01-04,,,,,,Archery Oct 1-26; firearm/archery Oct 15-26; archery Dec 6-Jan 4,https://www.in.gov/dnr/fish-and-wildlife/hunting-and-trapping/wild-turkey-hunting-biology-and-management/,FALSE,2025-2026
Iowa,IA,spring,Statewide,2025-04-14,2025-05-18,,,,,1,,,4 season periods; youth April 11-13,https://www.iowadnr.gov/things-do/hunting-trapping/types-hunting-trapping/turkey-hunting,TRUE,2025-2026
